agent_ts	ts	cs	1	2	3	4	5	6	7	8
inform(movie)	negate	HE	I don't think I would like that movie.	Umm, I don't think I'll enjoy that.	Umm, maybe not.	I don't think I'd like that.	I don't think I would like to watch that one.	I'm not so sure.	I might not like it.	
inform(movie)	negate	SD	I've actually already seen that movie, and I don't really want to watch it again.	I'm not interested.	No, I don't like that film.	I saw that before	Nope, I already watched that one and it was terrible.	No thanks, I had a really bad experience watching that movie before.	That's not my type of movie.	
inform(movie)	request(movie_info)	NONE	What is it about?	Can you tell me more about #MOVIE?	What is it about?	What is it about?	Can you tell me more about that movie?	What is this movie about?		
inform(movie)	request(movie_info)	HE	Hmm…maybe…do you think you could tell me more about it?	Umm, I think I'd like to know more about #MOVIE.	Could you maybe tell me what is it about?	I don't think I've heard of it. Could you maybe tell me more about it?	Would you mind giving me more information about this movie?	Could you maybe tell me what this is about?	I'm not sure, maybe you can tell me more about it?	
inform(movie)	request(genre)	NONE	What kind of film is it?							
inform(movie)	request(actor)	NONE	Which actors star in this film?							
inform(movie)	inform(another_one)	NONE	Please recommend me another movie instead.							
inform(movie)	inform(another_one)	HE	Could you please recommend me another movie, maybe?							
inform(movie)	inform(genre)	NONE	Could you recommend me a #GENRE movie instead?							
inform(movie)	inform(genre)	HE	Could you please recommend me a #GENRE movie, maybe?							
inform(movie)	inform(actor)	NONE	Could you recommend me a movie with #ACTOR instead?							
inform(movie)	inform(actor)	HE	Could you please recommend me a movie with #ACTOR, maybe?							
inform(movie)	inform(director)	NONE	Could you recommend me a movie by #DIRECTOR instead?							
inform(movie)	inform(director)	HE	Could you please recommend me a movie by #DIRECTOR, maybe?							
request(reason_not_like)	inform(reason_not_like)	SD	I have already seen it.	I don't like the actors in this film.	I don't like the director.	I want something lighter.				
request(another_one)	affirm	NONE	Yes, please.	Yes, please.	Yes, sure.	Yeah.	Yes.			
request(another_one)	affirm	PR	Yes, absolutely. That would be great.							
request(another_one)	negate	NONE	No, thank you.	No, thank you.		No, thanks.				
request(another_one)	negate	HE	No, I think I'm good for now.	No, I think I'm good.						
inform(movie_info)	affirm	NONE	Yes, please.	Yes, please.	Yes, sure.	Yeah.	Yes.			
inform(movie_info)	affirm	PR	Yes, absolutely. That would be great.							
inform(movie_info)	negate	NONE	No, thank you.	No, thank you.		No, thanks.				
inform(movie_info)	negate	HE	No, I think I'm good for now.	No, I think I'm good.						
inform(genre)	affirm	NONE	Yes, please.	Yes, please.	Yes, sure.	Yeah.	Yes.			
inform(genre)	affirm	PR	Yes, absolutely. That would be great.							
inform(genre)	negate	NONE	No, thank you.	No, thank you.		No, thanks.				
inform(genre)	negate	HE	No, I think I'm good for now.	No, I think I'm good.						
inform(actor)	affirm	NONE	Yes, please.	Yes, please.	Yes, sure.	Yeah.	Yes.			
inform(actor)	affirm	PR	Yes, absolutely. That would be great.							
inform(actor)	negate	NONE	No, thank you.	No, thank you.		No, thanks.				
inform(actor)	negate	HE	No, I think I'm good for now.	No, I think I'm good.						
request(feedback)	inform(feedback)	NONE	Yes.	Alright.	You did well.					
request(feedback)	inform(feedback)	PR	Yes, you were absolutely wonderful SARA!	You were great, thank you!	You were very helpful. Thank you so much.	You're good at recommending movies.	You did a great job SARA, thank you very much!	Yeah! Your recommendations are amazing.		
request(feedback)	inform(feedback)	HE	I guess you were alright.	I guess you were fine.	You did okay, I guess.	I guess it was good.	Yeah, I think it's alright.	I guess they were okay.		
