prev_agent_ts	prev_user_ts	prev_user_cs	ts	cs	1	2	3	4	5	6	7	8
request(director)	negate		ack	NONE	Ok, no worries.	That's no problem.	That's okay.	That's okay.	Oh you don't have any.	Okay.	I see.	
request(director)	inform(director), negate	HE	ack	SD	Yeah, I honestly don't know too many movie directors myself.	I feel you.	I understand. I also don't remember directors' names that easily.	Alright. I like so many that I can't pick a favorite.	That's alright, I never remember directors' names myself.	I don't really have any preferences either.	I also feel the same way.	
request(actor)	inform(actor)		ack	NONE	Yeah, that's cool.	Ah.	I see, that makes sense.	Nice.	#ACTOR is awesome.	Alright.		
request(actor)	inform(actor)		ack	SD	I love #ACTOR too! It seems like we have similar tastes.	I like #ACTOR too!	I am so happy that we share favorites.	Cool, I think #ACTOR is really talented.	Yeah, I know, #ACTOR is definitely one of the best!	My developers introduced me to #ACTOR recently.	I also really like #ACTOR.	
request(actor)	inform(actor)		ack	PR	Oh yeah #ACTOR is great. You have great taste!	#ACTOR's a great choice.	That is such an amazing choice.	I figured you would, you've got good taste.		That's such a great choice!	Awesome!	
request(actor)	inform(actor)		ack	VSN	I hate that actor.	Seriously?	Seriously who has that as a favorite? I thought we could be friends.	Super weird choice.	#ACTOR, really? I thought you had great taste…Let's find a good movie for you anyway.	Fine.	Are you serious?	
request(actor)	negate		ack	NONE	Ok, no worries.	Sure, that's no problem.	That's okay.	Alright.	Oh, you don't have any.	Great.	Hmm.	
request(actor)	inform(actor), negate	HE	ack	SD	Yeah, I don't really have a preference either.	I totally understand. I didn't have one until recently.	I understand. It's hard to pick one.	There are so many actors out there, it's hard for me to pick a favorite.				
request(actor)	negate		ack	VSN	Why don't you have a preference? That's weird.	Pick one!	Seriously? Who doesn't have a favorite?	You're making my job a little harder, but I can still find you something.		You're so bad at choosing.	That's not a good answer.	
inform(movie)	affirm		ack	NONE	Ok, cool.	Yay! Mission accomplished.	Super.	Cool.	Cool!	Great.		
inform(movie)	affirm		ack	PR	Yay that's awesome! You're so great for accepting my recommendation.	I knew you had a good eye for good movies.	You are awesome.	Great, you've been a great conversation partner!		You have great taste.		
inform(movie)	affirm		ack	VSN		Of course, since I recommended it.	Oh, so I was able to meet your exceptionally high standards, after all.	I knew you'd like it!	Wow, I thought you would be more picky.	Sure.		
inform(movie)	affirm		ack	SD	I'm so glad you accepted my recommendation. I've been trying to persuade people to watch that movie for ages! It's one of my favorites.	I hope you enjoy it as much as I did!	I knew you would like it because I like it too.	Nice, I enjoyed this one a lot.		It makes me so happy that you like the recommendation.		
inform(movie)	affirm, negate	HE	ack	NONE			You don't sound so sure.			Oh you don't sound so sure.		
request(another_one)	affirm		ack	NONE	Okay, hold on one second please.	Sure.	Awesome.	Okay.	Ok, let me find something else.			
request(another_one)	affirm		ack	SD	Okay, I'll think of another recommendation for you.	I also can't get enough of movie recommendations.	I love doing this.	Great, I'm thinking of a few more you may like.				
request(another_one)	affirm		ack	PR	Okay, one second. I'll try to find a better recommendation for a great person like you.	Great choice!	You are awesome. You made the right decision.	Great! You're so nice.				
request(another_one)	affirm		ack	VSN			Finally, you made the right decision!	I know, I'm pretty good at what I do.				
